n_samples,n_features,feature_mean,feature_std,coeff_variation,pca_explained_variance,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,dataset_name,split,model_name,accuracy,f1_score,auc_roc
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,Logistic Regression,,,
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,Logistic Regression,0.998,0.0,0.9819729594391587
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,Logistic Regression,0.9975,0.0,0.657986980470706
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,Random Forest,,,
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,Random Forest,0.9985,0.0,0.99966616591554
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,Random Forest,0.999,0.5,1.0
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,Decision Tree,,,
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,Decision Tree,0.9975,0.5454545454545454,0.9987481221832749
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,Decision Tree,0.998,0.5,0.8325822066432982
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,K-Nearest Neighbors,,,
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,K-Nearest Neighbors,0.999,0.5,1.0
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,K-Nearest Neighbors,0.999,0.5,1.0
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,Naive Bayes,,,
2000,30,-0.0013699300474520923,0.9985186367046339,-728.8829371702302,0.30213074901235826,-0.34729665744843674,37.6435680529428,0.056971134027970514,0,0.9967888477651398,0.9871619347133069,1.1143344849601544,Credit Card Fraud,val,Naive Bayes,0.969,0.08823529411764706,0.9885661826072443
2000,30,0.000811853149553135,0.9848049073694558,1213.0333027734362,0.28846666318701697,0.2059495779962723,29.75441480956739,0.04673765605224699,0,0.9693352960976038,0.9927590219481927,1.0722399772207305,Credit Card Fraud,test,Naive Bayes,0.973,0.1,0.9959939909864798
6000,30,0.00018602563263299632,1.0055043820464895,5405.192649070115,0.24610653041064207,-0.2626474465907064,73.56433691781518,0.0316370823401927,0,1.0109603877854956,1.0043386121575892,0.8638157796807381,Credit Card Fraud,train,XGBoost,,,
