n_samples,n_features,feature_mean,feature_std,coeff_variation,target_mean,target_std,target_skewness,target_kurtosis,n_target_outliers,avg_skewness,avg_kurtosis,mean_abs_correlation,n_zero_variance_features,mean_variance,median_variance,mean_feature_entropy,pca_explained_variance,avg_feature_target_correlation,avg_mutual_info,dataset_name,model_name,mae_val,mse_val,rmse_val,r2_val,mae_test,mse_test,rmse_test,r2_test
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,Linear Regression,42.938899632988786,2620.7963509159385,51.193713978533914,0.521649518868792,42.924489321986684,2932.917061797816,54.15641293326042,0.446426376402113
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,Random Forest Regressor,44.6056179775281,2955.0285617977524,54.36017440919181,0.46064510743141074,45.017303370786514,3100.255339325843,55.679936595921546,0.41484210221161266
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,Decision Tree Regressor,51.30337078651685,4419.033707865168,66.47581295377415,0.1934333625145791,65.12359550561797,6699.213483146067,81.84872316136683,-0.264443489188799
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,Support Vector Regressor,61.24451819050332,5320.131211033357,72.939229575266,0.028964107192245625,57.32883998743419,4590.495060957472,67.7531922565828,0.13356670800477966
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,K-Nearest Neighbors Regressor,45.9438202247191,3306.0831460674153,57.49854907793252,0.39657025887249053,42.635955056179775,3022.9829213483144,54.98165986352462,0.42942688982158694
264,10,0.005106114127145396,0.9931766455296221,194.50733391360046,149.81060606060606,78.84619017868458,0.5351646757740848,-0.7820541697904666,0,0.4016679918245306,0.06166895052422663,0.30911933400951663,0,0.9842513759569342,0.9839983191848347,1.8281756334299786,0.8397145607551494,0.32569095103042744,0.10156205038639243,Diabetes,XGBoost Regressor,48.62426239185119,3581.1430993715226,59.84265284369939,0.3463660295522829,46.1095525763008,3376.1510173134116,58.1046557283787,0.36276815433633425
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,Linear Regression,0.5333346447415043,0.5297481095803487,0.7278379693175869,0.6142000785497264,0.5333019589956598,0.5617904958193354,0.7495268479643243,0.5712861365056533
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,Random Forest Regressor,0.3377729352713178,0.2639326056603124,0.5137437159326743,0.8077856689048356,0.3337958625968992,0.26181950721772107,0.5116830143924274,0.8002001576872672
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,Decision Tree Regressor,0.4532579602713179,0.4960205228969477,0.7042872445933887,0.6387628850191468,0.44202562500000003,0.4973363650333818,0.7052207916910715,0.620472407247233
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,Support Vector Regressor,0.39432193099406215,0.34492475115943405,0.5873029466633333,0.7488014784819513,0.3964243165714998,0.3544252923714574,0.5953362851124206,0.7295307814150969
12384,8,-0.0028050111786861493,0.9189424591768776,-327.6074142447107,2.068077419250646,1.1509151433486544,0.9744178755605151,0.33199559041418336,640,13.557719711380251,830.9032618211123,0.1343324759771426,0,0.8444375547920893,0.9915622023369093,1.0023299190586994,0.9149645431386615,0.1610794086465394,0.17262012541483673,California Housing,K-Nearest Neighbors Regressor,0.4541405067829457,0.4346974757206937,0.6593159149608735,0.683422651341733,0.4534441802325581,0.44336483053217435,0.6658564639110852,0.6616591935081597
